text,label
Researchers find link between exercise and longevity #135,REAL
Fake news: Government to give free cars to all citizens #136,FAKE
Celebrity claims drinking sugar water cures cancer #137,FAKE
Fake news: Schools to close for 6 months nationwide #138,FAKE
Social media rumor: Petrol price dropped to 10 rupees #139,FAKE
Police warn citizens about fake job scam messages #140,FAKE
Researchers confirm water found on Mars #141,REAL
NASA schedules new moon mission #142,REAL
Doctors say eating chocolate prevents all diseases #143,FAKE
Government launches new healthcare policy #144,REAL
Scientists discover new species in Amazon rainforest #145,REAL
Stock market hits record high this week #146,REAL
Local man wins lottery jackpot #147,REAL
New education reform bill passed in parliament #148,REAL
Apple announces new iPhone with advanced features #149,REAL
